Name,Long,Lat,Con_4720,Con_41420,Con_42020,Con_42820,Con_50420,Con_51120,Con_51920,Con_52620,Con_60220
81,-90.06221,29.957264,0,0,0,0,0,0,0,0,0
82,-90.06111,29.958574,0,0,0,0,0,0,0,0,0
83,-90.06132,29.95789,0,0,0,0,0,0,0,0,0
84,-90.061195,29.958014,0,0,0,0,0,0,0,0,0
85,-90.06082,29.958784,0,0,0,0,0,0,0,0,0
86,-90.06512,29.95921,0,0,0,0,0,0,0,0,0
87,-90.05949,29.959948,0,0,0,0,0,0,0,0,0
88,-90.06843,29.955887,0,0,0,0,0,0,0,0,0
89,-90.0684,29.955814,0,0,0,0,10,5,0,0,0
90,-90.06399,29.960487,0,0,0,0,0,0,0,0,0
91,-90.0647,29.959648,60,0,5,0,0,0,0,0,0
92,-90.06511,29.95922,0,0,0,0,0,0,0,0,0
93,-90.063866,29.960552,0,0,0,0,0,0,0,0,0
94,-90.06244,29.956911,0,0,0,0,0,0,0,0,0
95,-90.062454,29.956913,0,0,0,0,0,0,0,0,0
96,-90.0622,29.957226,0,0,0,0,0,0,0,0,0
97,-90.06215,29.957184,0,0,0,0,0,0,0,0,0
98,-90.06211,29.957207,0,0,0,0,0,0,0,0,0
99,-90.06367,29.960938,0,0,0,80,0,0,0,0,0
100,-90.06689,29.957273,0,0,0,0,0,0,0,0,0
101,-90.0637,29.960878,0,0,0,0,0,0,0,0,0
102,-90.06246,29.957287,0,0,0,0,0,0,0,0,0
103,-90.06244,29.95751,0,0,0,0,0,0,0,0,0
104,-90.06255,29.957767,0,0,0,0,0,0,0,0,0
105,-90.06271,29.957914,0,0,0,0,0,0,0,0,0
106,-90.06283,29.957859,0,0,0,0,0,0,0,0,0
107,-90.0632,29.95779,0,0,0,0,0,0,0,0,0
108,-90.06322,29.957737,0,0,0,0,0,0,0,0,0
109,-90.06349,29.9573,0,0,0,0,0,0,0,0,0
110,-90.06302,29.95708,0,0,0,0,0,0,0,0,0
111,-90.06287,29.957008,0,0,0,0,0,0,0,0,0
112,-90.0607,29.958939,0,0,0,0,0,0,0,0,0
112,-90.06683,29.957222,0,0,0,0,0,5,0,0,0
113,-90.06072,29.958918,0,0,0,0,0,0,0,0,0
114,-90.06016,29.9593,0,0,0,0,0,0,0,0,0
115,-90.060165,29.959284,0,0,0,0,0,0,0,0,0
116,-90.0602,29.959198,0,0,0,0,0,0,0,0,0
117,-90.05976,29.959412,0,0,0,0,0,0,0,0,0
118,-90.05908,29.960236,0,0,35,0,0,0,0,0,0
119,-90.05907,29.960243,0,0,0,0,0,0,0,0,0
120,-90.058975,29.960224,0,0,0,0,0,0,0,0,0
121,-90.058846,29.960224,0,0,80,0,0,0,0,0,0
122,-90.05902,29.960041,0,0,0,0,0,0,0,0,0
123,-90.05932,29.96011,0,0,0,0,0,0,0,0,0
124,-90.05914,29.960033,0,0,0,0,0,0,0,0,0
125,-90.05939,29.960032,15,0,0,0,0,0,0,0,0
125,-90.0647,29.95969,0,50,0,0,0,0,0,0,0
127,-90.059616,29.959814,0,0,0,0,0,0,0,0,0
128,-90.06949,29.954296,0,0,0,0,0,0,0,0,0
129,-90.06925,29.954548,10,5,0,80,0,0,0,0,0
130,-90.06928,29.954575,0,0,0,0,0,0,0,0,0
131,-90.0689,29.955053,0,0,0,0,0,0,0,0,0
132,-90.068924,29.955055,10,0,0,0,0,0,0,0,0
133,-90.068535,29.955301,0,0,0,0,0,50,0,0,0
134,-90.06854,29.955305,0,0,0,0,0,50,0,0,0
135,-90.067505,29.956493,0,0,0,0,0,0,0,0,0
136,-90.06751,29.95649,5,35,15,25,0,0,0,0,0
137,-90.0674,29.956533,20,50,10,20,0,0,0,0,0
138,-90.0674,29.956533,55,30,0,0,0,0,0,0,0
139,-90.06735,29.956587,0,15,0,0,0,0,0,0,0
140,-90.06732,29.956749,0,0,0,0,0,5,0,0,0
141,-90.067314,29.956785,0,5,0,10,0,0,5,0,0
142,-90.06676,29.957273,0,0,0,0,0,0,0,0,0
143,-90.066795,29.957256,0,10,0,0,0,0,0,0,0
144,-90.06675,29.95738,0,0,0,0,0,5,0,0,0
145,-90.06668,29.95747,0,0,0,0,0,0,0,0,0
147,-90.066605,29.95754,0,0,0,0,0,0,0,0,0
148,-90.066345,29.958015,0,0,0,0,0,0,0,0,0
149,-90.066246,29.958057,0,0,0,0,0,0,0,0,0
150,-90.06589,29.958202,0,0,0,0,0,0,0,0,0
151,-90.06587,29.958286,30,20,0,20,0,5,0,0,0
152,-90.06587,29.958292,0,0,0,0,0,0,0,0,0
153,-90.065796,29.9584,0,5,0,5,0,0,0,0,0
154,-90.06543,29.958874,0,0,0,0,0,0,0,0,0
